optimizer,best_params,run,score
IGWO,"[  0.99043019   1.           0.39912426  77.79897682  46.19920248
  54.44886051   0.14127403   0.76474174   0.10949432   0.19127592
 108.66790021  89.60328938  90.30121559   0.1269503 ]",1,2686.672051152564
IGWO,"[9.67764253e-01 5.81525208e-01 5.15659562e-04 7.32776433e+01
 4.20120488e+01 1.29548707e+02 5.44489257e-01 6.20268790e-01
 5.09731625e-01 3.95985367e-02 1.03507947e+02 8.74549705e+01
 3.85682692e+01 4.13724170e-01]",2,2865.912612277459
IGWO,"[  0.51895125   0.74112208   0.18005062  71.24167187 165.65639767
  39.5751414    0.39800699   0.56494004   0.84682902   0.20194722
 128.6155641  130.93180065 114.64609864   0.24422374]",3,2055.520747078567
IGWO,"[  0.39876834   0.26406614   0.31439949  73.95617829 167.73536015
 181.91351796   0.26423293   0.45603274   0.71582073   0.45717093
 100.57108282 145.4465453   21.66087541   0.31431022]",4,2605.291824051639
IGWO,"[9.54635840e-02 8.55020422e-01 3.20565216e-01 7.75971856e+01
 7.55240307e+01 7.00763763e+01 8.32133016e-01 5.15340116e-01
 6.88369297e-01 2.77810571e-01 1.16797865e+02 1.12833357e+02
 8.04417204e+01 4.76741165e-01]",5,2083.054483819159
IGWO,"[6.43326915e-01 6.70898153e-01 6.09054316e-01 6.72361939e+01
 4.00003556e+01 7.11305007e+01 6.97088193e-01 4.39321115e-01
 1.18787182e-01 1.92945068e-01 1.10784394e+02 1.60306813e+02
 6.79897821e+01 2.03729240e-01]",6,1930.270214961972
IGWO,"[5.65601128e-01 4.56710736e-01 3.67310930e-02 7.51652477e+01
 8.23696520e+01 9.20919747e+01 2.18296237e-01 9.11258870e-01
 1.48803198e-01 5.43192370e-02 1.15599940e+02 2.77232759e+01
 1.47926278e+02 1.21656301e-01]",7,2162.4433999231815
IGWO,"[  0.71154251   0.35653751   0.19070524  73.04347869  34.23923753
  27.1435605    0.66620933   1.           0.25417363   0.25781525
 104.8120177   98.0918316  105.04523702   0.64283998]",8,2707.334151290008
IGWO,"[3.50665819e-01 8.57512965e-01 2.63629493e-01 7.47262264e+01
 1.67448108e+02 6.73660573e+00 3.74602241e-01 5.87260176e-01
 1.16981981e-01 4.37635471e-02 1.24086254e+02 1.68495396e+01
 3.71633803e+01 1.45308010e-01]",9,1835.898463365718
IGWO,"[6.01154999e-01 7.94266762e-01 3.14422754e-01 6.46196580e+01
 6.57632716e+01 2.82254148e+01 8.50976339e-01 5.35631968e-01
 7.72430958e-02 6.95148928e-02 1.10467478e+02 1.29108862e+02
 1.61891954e+02 4.06234043e-01]",10,2327.70909851052
IGWO,"[8.19266367e-01 6.57096968e-01 9.61483611e-01 7.11089074e+01
 4.65696873e+01 1.43910055e+02 6.87895174e-01 6.46664954e-01
 1.23988914e-01 3.57246441e-01 1.13463943e+02 1.02750122e+02
 2.12582677e+01 7.60212882e-01]",11,2991.6174339338086
IGWO,"[2.88757642e-01 8.55333403e-01 6.39418868e-02 7.21870251e+01
 7.80239558e+01 9.03021613e+01 2.74259712e-01 4.29145430e-04
 1.90021173e-01 0.00000000e+00 3.53624471e+01 1.20454320e+02
 2.01212927e+01 5.52852409e-01]",12,3282.2787059544103
